site_id,year,first_snow_melt,cont_snow_acc,last_snow_melt,first_snow_acc,max_swe,max_swe_doy,network,state,site_name,description,start,end,latitude,longitude,elev,county,aspect,slope,hillshade,canopy_height,modis_snow_melt,modis_snow_acc,LC
303,2009,118,294,118,294,221,40,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,64,314,10
303,2010,119,315,119,298,259,87,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,121,347,10
303,2003,120,339,120,315,188,90,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,NA,338,10
303,2008,123,332,139,285,417,85,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,105,329,10
303,2013,96,288,112,288,145,71,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,97,322,10
303,2014,66,316,136,284,84,42,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,91,354,10
303,2015,88,320,141,294,89,65,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,90,318,10
303,2007,119,335,119,293,302,55,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,92,333,10
303,2012,109,339,112,316,208,72,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,86,343,10
303,2005,137,365,137,365,378,101,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,130,364,10
303,2006,1,333,96,299,0,1,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,2,331,10
303,2011,100,299,136,299,152,40,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,92,297,10
304,2004,125,320,146,295,541,66,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,89,313,1
304,2009,142,307,142,276,536,95,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,111,289,1
304,2010,140,322,140,296,427,99,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,109,307,1
304,2003,137,305,137,305,366,87,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,NA,299,1
304,2008,141,307,141,283,533,116,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,136,303,1
304,2012,130,315,159,296,386,101,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,113,295,1
304,2013,124,319,146,281,399,83,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,115,299,1
304,2006,133,310,133,310,625,101,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,118,301,1
304,2014,125,314,125,305,315,98,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,118,291,1
304,2015,109,312,135,247,224,59,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,69,295,1
304,2005,119,300,119,300,277,103,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,72,295,1
304,2007,119,316,119,274,307,69,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,92,302,1
304,2011,163,306,163,279,523,121,SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2100-01-01,45.19,-119.25,5770,Morrow,35.7600975036621,2.31482696533203,175,25,140,292,1
305,2008,154,294,154,285,518,104,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,140,305,1
305,2007,147,286,147,272,495,116,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,119,324,1
305,2011,157,298,157,281,483,120,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,149,297,1
305,2009,139,317,139,265,521,109,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,131,315,1
305,2006,141,290,141,263,462,111,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,104,286,1
305,2012,101,315,147,298,157,64,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,92,314,1
305,2003,150,307,150,307,531,132,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,NA,304,1
305,2004,133,287,138,274,287,104,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,108,302,1
305,2005,146,302,158,282,427,121,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,139,299,1
305,2010,147,295,147,295,297,123,SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,9680,Grand,300.445098876953,4.38735198974609,173,25,142,293,1
306,2005,147,300,160,300,521,96,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,142,298,1
306,2003,166,306,166,306,866,133,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,NA,299,1
306,2004,127,291,133,291,663,67,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,121,326,1
306,2006,157,306,157,288,1072,111,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,135,305,1
306,2008,164,307,164,284,800,102,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,139,303,1
306,2013,141,301,141,268,640,110,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,134,299,1
306,2014,154,305,154,294,823,97,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,142,293,1
306,2007,136,316,136,290,538,69,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,128,311,1
306,2012,156,296,163,296,884,93,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,135,310,1
306,2009,153,296,153,276,688,106,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,147,308,1
306,2010,164,297,164,297,605,104,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,163,295,1
306,2011,176,306,176,278,970,120,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,165,307,1
306,2015,141,301,141,301,597,106,SNTL,ID,atlanta summit ,North and Middle Forks Boise (17050111),1978-10-01,2100-01-01,43.76,-115.24,7580,Elmore,314.754638671875,10.1099081039429,156,21,146,300,1
307,2004,178,290,178,258,770,90,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,173,287,1
307,2008,198,309,198,245,1199,165,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,138,306,1
307,2005,168,300,168,224,579,112,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,147,298,1
307,2006,165,289,165,242,935,111,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,135,287,1
307,2012,182,312,182,276,1102,112,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,135,275,1
307,2013,172,268,172,268,942,115,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,160,299,1
307,2014,185,293,185,234,1179,117,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,172,295,1
307,2007,167,308,167,261,848,112,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,135,303,1
307,2003,169,301,169,254,818,100,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,NA,295,1
307,2015,157,303,157,248,734,106,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,141,294,1
307,2009,180,275,180,275,871,136,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,149,272,1
307,2010,180,316,180,243,749,130,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,164,309,1
307,2011,198,281,198,262,1367,130,SNTL,MT,badger pass ,North Badger Creek (100302010201),1978-10-01,2100-01-01,48.13,-113.02,6900,Flathead,273.195922851562,6.08119297027588,179,23,173,272,1
308,2005,95,365,95,365,206,65,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,1,363,1
308,2003,34,360,91,345,56,4,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,NA,348,1
308,2015,38,345,71,307,46,5,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,15,344,1
308,2004,77,326,98,295,132,65,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,69,365,1
308,2006,1,351,87,332,0,1,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,1,347,1
308,2007,74,342,74,334,132,56,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,67,338,1
308,2008,88,343,88,320,267,55,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,81,346,1
308,2009,80,341,103,341,216,49,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,61,338,1
308,2010,107,363,107,325,462,70,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,95,362,1
308,2013,80,325,80,325,117,70,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,61,334,1
308,2014,31,346,118,346,56,1,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,9,364,1
308,2012,66,348,107,348,109,1,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,41,348,1
308,2011,74,335,103,308,76,59,SNTL,AZ,baker butte ,Pine Creek (150602030206),1978-10-01,2100-01-01,34.46,-111.41,7300,Gila,264.975921630859,1.41278731822968,181,22,39,334,1
309,2007,170,278,170,251,607,127,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,164,289,10
309,2008,182,279,182,245,531,136,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,175,281,10
309,2006,145,259,145,259,429,98,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,145,256,10
309,2011,193,279,193,279,1044,152,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,183,278,10
309,2012,171,278,171,278,602,128,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,157,288,10
309,2009,173,273,173,273,564,134,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,149,271,10
309,2010,178,297,178,282,505,146,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,166,295,10
309,2015,160,304,160,260,434,118,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,159,307,10
309,2003,171,283,178,253,549,133,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,NA,298,10
309,2013,167,268,167,261,455,123,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,160,267,10
309,2014,175,301,175,234,805,136,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,163,298,10
309,2004,168,288,168,257,490,116,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,154,285,10
309,2005,176,275,176,255,533,138,SNTL,WY,bald mtn. ,Upper Porcupine Creek (100800100601),1978-10-01,2100-01-01,44.8,-107.84,9380,Big Horn,16.0490036010742,1.76195120811462,175,18,165,299,10
310,2006,1,327,92,327,0,1,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,1,348,7
310,2003,107,342,107,342,226,67,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,NA,340,7
310,2010,118,325,125,325,419,83,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,116,348,7
310,2011,76,309,82,309,135,59,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,73,334,7
310,2012,88,348,88,312,157,31,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,87,348,7
310,2013,91,318,105,302,208,69,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,88,321,7
310,2014,52,346,119,319,81,38,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,26,341,7
310,2015,73,345,137,308,112,32,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,69,344,7
310,2007,78,331,85,331,150,57,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,2,332,7
310,2004,89,326,106,317,193,66,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,10,362,7
310,2005,109,365,109,365,292,65,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,108,364,7
310,2008,95,329,148,306,305,55,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,92,341,7
310,2009,95,339,95,300,254,49,SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1978-10-01,2100-01-01,33.98,-109.5,9125,Apache,89.144905090332,1.03640007972717,181,23,78,338,7
311,2005,132,301,132,253,246,98,SNTL,MT,banfield mountain ,Upper Fortine Creek (170101010702),1968-10-01,2100-01-01,48.57,-115.45,5600,Lincoln,356.009094238281,3.66222643852234,169,22,24,298,1
311,2003,150,299,150,285,444,96,SNTL,MT,banfield mountain ,Upper Fortine Creek (170101010702),1968-10-01,2100-01-01,48.57,-115.45,5600,Lincoln,356.009094238281,3.66222643852234,169,22,NA,299,1
311,2006,140,311,140,288,457,97,SNTL,MT,banfield mountain ,Upper Fortine Creek (170101010702),1968-10-01,2100-01-01,48.57,-115.45,5600,Lincoln,356.009094238281,3.66222643852234,169,22,134,301,1
